,name,lat,lng,vicinity,city
258,Phuket Chemical Argiculture Ltd.,7.916990199999999,98.39405099999999,"45/4 ถนน เทพกระษัตรี (เยื้องสถานีขนส่งแห่งที่ 2) Ratsada, Mueang Phuket District","W98V+QJ Ratsada, Mueang Phuket District, Phuket"
259,"Phuket Chemical and Machinery Co.,Ltd.",7.861367199999999,98.34884029999999,"10, 178 Soi 5, Wichit, เมือง","V86X+GG Chalong, Mueang Phuket District, Phuket"
260,คลีนพลัสเคมีคอล,7.8782664,98.37014309999999,"63/466 Wichit, เมือง","V9HC+83 Wichit, Mueang Phuket District, Phuket"
261,Chem-Dry Cleaning Service,8.001021699999999,98.3448252,"55/309 Moo 1 Thepkasattri Road T Srisoonthorn, A. Thalang, Thalang District","282V+CW Si Sunthon, Thalang District, Phuket"
262,บริษัท เอส.ที.เคมีธุรกิจ จำกัด,8.0096683,98.315595,50/67 ม.4 เชิงทะเล Thalang District,"2858+V6 Choeng Thale, Thalang District, Phuket"
263,"Karcher Store by Topline Center Co., Ltd",7.905859,98.3753837,"92 หมู่บ้านภูเก็ตวิลล่า 1 ซอย Yaowarat 1 Rd, Mueang Phuket District","W94G+85 Ratsada, Mueang Phuket District, Phuket"
264,Pro Cleaning Company Limited,7.905675500000001,98.37589880000002,"61 Yaowarat Rd, Talat Yai, Mueang Phuket District","W94G+79 Ratsada, Mueang Phuket District, Phuket"
265,"Chemical House & Lab Instrument Co.,LTD",13.7615811,100.6028474,"98 ซอย รามคำแหง 21 Phlabphla, Wang Thonglang",QJ63+J4 Bangkok
266,Chemical Asia Company Limited,13.6606763,100.6272467,"12/15 Sukhumvit Rd, Bang Na , 10260, Bang Na",MJ6G+7V Bangkok
267,Indorama Chemicals (Thailand) Ltd.,13.7428327,100.5615333,"75/64-65 Ocean Tower 2, 28th Floor, Sukhumvit 19, Asoke Rd., Klongtoey Nuer Wattana, Bangkok 10110",PHV6+4J Bangkok
268,MC Industrial Chemical Company Limited,13.7408246,100.505514,"180-184 ถนน ราชวงศ์ Chakkrawat, Samphanthawong",PGR4+86 Bangkok
